ARGS: standings --dutch ../../trf/testdata/trf2026-team.trf
EXIT: 0
STDOUT:
Rank  ID  Name             Score  Buchholz Cut-1  Buchholz  Sonneborn-Berger  Direct Encounter
----  --  ----             -----  --------        --------  --------          --------
1     1   Fischer, Bobby   2      2               3.5       2                 0
2     3   Karpov, Anatoly  1.5    2.5             4         1.8               0
3     5   Player Five      1      4               5         1.5               1
4     8   Player Eight     1      3.5             4.5       1.8               0.5
5     4   Kasparov, Garry  1      2.5             3.5       1.2               0.5
6     2   Spassky, Boris   1      2               3         0.5               0
7     7   Player Seven     0.5    3.5             4         0.8               0
8     6   Player Six       0      4               4         0                 0
STDERR:
